,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatu,4,7,0.2,0.0006,13.json,1,2226,,FDGIB,4,6,0.2,0.0006,53.json,1,5406,,STGIB,4,9,0.2,0.0006,64.json,1,4466,,TRGIB,4,11,0.2,0.0006,22.json,0,3518,,,,,,
Chatu,4,12,0.2,0.0006,35.json,0,7770,,FDGIB,4,11,0.2,0.0006,61.json,1,4792,,STGIB,4,17,0.2,0.0006,2.json,0,8454,,TRGIB,4,7,0.2,0.0006,31.json,1,1746,,,,,,
Chatu,4,13,0.2,0.0006,25.json,1,2502,,FDGIB,4,15,0.2,0.0006,23.json,0,5846,,STGIB,4,16,0.2,0.0006,73.json,1,3046,,TRGIB,4,12,0.2,0.0006,43.json,1,5900,,,,,,
Chatu,4,10,0.2,0.0006,78.json,1,3278,,FDGIB,4,9,0.2,0.0006,29.json,1,2342,,STGIB,4,7,0.2,0.0006,15.json,1,4914,,TRGIB,4,12,0.2,0.0006,18.json,1,4178,,,,,,
Chatu,4,10,0.2,0.0006,52.json,1,6666,,FDGIB,4,10,0.2,0.0006,40.json,1,8282,,STGIB,4,7,0.2,0.0006,69.json,1,2172,,TRGIB,4,15,0.2,0.0006,56.json,1,5186,,,,,,
Chatu,4,16,0.2,0.0006,41.json,0,7476,,FDGIB,4,11,0.2,0.0006,21.json,1,6070,,STGIB,4,7,0.2,0.0006,11.json,1,3642,,TRGIB,4,6,0.2,0.0006,20.json,0,3408,,,,,,
Chatu,4,15,0.2,0.0006,28.json,1,8502,,FDGIB,4,12,0.2,0.0006,45.json,1,2364,,STGIB,4,16,0.2,0.0006,67.json,1,2510,,TRGIB,4,10,0.2,0.0006,48.json,0,7692,,,,,,
Chatu,4,11,0.2,0.0006,63.json,1,2906,,FDGIB,4,6,0.2,0.0006,34.json,1,3928,,STGIB,4,8,0.2,0.0006,57.json,0,2590,,TRGIB,4,17,0.2,0.0006,33.json,0,7068,,,,,,
Chatu,4,9,0.2,0.0006,62.json,1,2410,,FDGIB,4,11,0.2,0.0006,51.json,1,3812,,STGIB,4,7,0.2,0.0006,6.json,1,3412,,TRGIB,4,9,0.2,0.0006,44.json,1,6834,,,,,,
Chatu,4,9,0.2,0.0006,12.json,0,8094,,FDGIB,4,9,0.2,0.0006,55.json,1,3524,,STGIB,4,9,0.2,0.0006,5.json,1,2122,,TRGIB,4,13,0.2,0.0006,46.json,0,8450,,,,,,
Chatu,4,13,0.2,0.0006,7.json,1,4052,,FDGIB,4,9,0.2,0.0006,65.json,1,1936,,STGIB,4,10,0.2,0.0006,59.json,1,6890,,TRGIB,4,9,0.2,0.0006,74.json,1,7360,,,,,,
Chatu,4,13,0.2,0.0006,71.json,1,7116,,FDGIB,4,9,0.2,0.0006,58.json,1,3936,,STGIB,4,11,0.2,0.0006,54.json,1,3756,,TRGIB,4,9,0.2,0.0006,47.json,1,3086,,,,,,
Chatu,4,16,0.2,0.0006,30.json,0,4962,,FDGIB,4,13,0.2,0.0006,76.json,1,4520,,STGIB,4,6,0.2,0.0006,75.json,1,7288,,TRGIB,4,7,0.2,0.0006,19.json,0,4924,,,,,,
Chatu,4,11,0.2,0.0006,27.json,1,5712,,FDGIB,4,9,0.2,0.0006,4.json,1,3034,,STGIB,4,15,0.2,0.0006,10.json,1,15636,,TRGIB,4,16,0.2,0.0006,14.json,1,7486,,,,,,
Chatu,4,14,0.2,0.0006,49.json,0,6386,,FDGIB,4,7,0.2,0.0006,32.json,1,4206,,STGIB,4,13,0.2,0.0006,8.json,0,5468,,TRGIB,4,12,0.2,0.0006,0.json,0,9558,,,,,,
Chatu,4,14,0.2,0.0006,60.json,1,8378,,FDGIB,4,11,0.2,0.0006,36.json,1,4736,,STGIB,4,14,0.2,0.0006,38.json,0,5632,,TRGIB,4,9,0.2,0.0006,72.json,0,13302,,,,,,
Chatu,4,16,0.2,0.0006,39.json,0,14300,,FDGIB,4,9,0.2,0.0006,70.json,1,6904,,STGIB,4,10,0.2,0.0006,68.json,1,3308,,TRGIB,4,10,0.2,0.0006,1.json,1,2470,,,,,,
Chatu,4,8,0.2,0.0006,79.json,0,6244,,FDGIB,4,9,0.2,0.0006,16.json,1,6852,,STGIB,4,10,0.2,0.0006,66.json,1,2174,,TRGIB,4,8,0.2,0.0006,77.json,1,3700,,,,,,
Chatu,4,13,0.2,0.0006,37.json,0,9958,,FDGIB,4,13,0.2,0.0006,3.json,1,7516,,STGIB,4,8,0.2,0.0006,42.json,1,2696,,TRGIB,4,12,0.2,0.0006,9.json,0,4466,,,,,,
Chatu,4,9,0.2,0.0006,24.json,0,8500,,FDGIB,4,9,0.2,0.0006,50.json,1,4592,,STGIB,4,8,0.2,0.0006,17.json,1,7160,,TRGIB,4,11,0.2,0.0006,26.json,0,9366,,,,,,
Chatu,4,9,0.2,0.0006,13.json,1,3424,,FDGIB,4,6,0.2,0.0006,45.json,1,1380,,STGIB,4,8,0.2,0.0006,80.json,1,3488,,TRGIB,4,8,0.2,0.0006,100.json,1,1412,,,,,,
Chatu,4,7,0.2,0.0006,61.json,1,1550,,FDGIB,4,13,0.2,0.0006,19.json,0,3940,,STGIB,4,12,0.2,0.0006,43.json,1,4552,,TRGIB,4,14,0.2,0.0006,104.json,0,7614,,,,,,
